#  t             x             y         z vx           vy          vz lat lon           alt         vit          pen         azi
1594.69197 679.2839498 7197.746359 -99.77623163 -5.898850931 0.358771799 -3.715318363 -0.795375218 84.60870569 852.2844101 6.980598115 -1.194008807 122.1874694
1694.360218 88.93062505 7200.124948 -468.8997877 -5.938846703 -0.311746647 -3.685184551 -3.747890133 89.29236084 837.8787736 6.996261238 -1.174116972 121.9594278
1794.028466 -502.8007172 7135.568617 -833.0637394 -5.926357055 -0.983320548 -3.615806932 -6.681962812 94.03062777 823.7573527 7.011610872 -1.142172115 121.4432809
1893.696714 -1090.643223 7004.29227 -1188.36727 -5.860745702 -1.649503157 -3.507470967 -9.572535801 98.85049323 810.0664126 7.02648941 -1.098693138 120.6341558
1993.364962 -1669.291255 6807.159216 -1530.960345 -5.741875979 -2.303741722 -3.360912499 -12.39321846 103.7785064 796.9463347 7.040745593 -1.044308124 119.5265838
2093.03321 -2233.451673 6545.688084 -1857.089168 -5.570139534 -2.939451932 -3.177327934 -15.11607728 108.8401343 784.5301895 7.054235954 -0.979739085 118.1151403
2192.701458 -2777.897647 6222.051981 -2163.142295 -5.346478447 -3.550099081 -2.958377286 -17.71152277 114.0588534 772.9424675 7.066826122 -0.90578618 116.3953955
2292.369706 -3297.524299 5839.069267 -2445.696668 -5.072399427 -4.129284516 -2.706179299 -20.14834476 119.4549192 762.297981 7.078391975 -0.823312085 114.3652165
2392.037954 -3787.405312 5400.185542 -2701.56274 -4.749978918 -4.67083558 -2.423297988 -22.39395899 125.0437942 752.7009421 7.088820626 -0.733227197 112.0264296
2491.706203 -4242.849557 4909.446568 -2927.827813 -4.381858186 -5.168896954 -2.112720267 -24.41493352 130.8342832 744.2442124 7.098011257 -0.636476251 109.3867834
2591.374451 -4659.4567 4371.462113 -3121.896695 -3.971227729 -5.618021096 -1.777824562 -26.17785412 136.8265344 737.0087157 7.1058758 -0.53402686 106.4620495
2691.042699 -5033.170712 3791.360937 -3281.528799 -3.521800735 -6.013255319 -1.422340673 -27.65055674 143.0102044 731.0629944 7.112339485 -0.426860314 103.27796
2790.710947 -5360.33019 3174.737361 -3404.870813 -3.037775664 -6.350223021 -1.050301447 -28.80369302 149.3632144 726.462889 7.117341254 -0.315964782 99.87154984
2890.379195 -5637.714422 2527.590132 -3490.484192 -2.523788432 -6.625196681 -0.665987154 -29.61250756 155.8515907 723.2513169 7.12083408 -0.202330893 96.29141438
2990.047443 -5862.584205 1856.254522 -3537.366786 -1.984855068 -6.835160408 -0.27386375 -30.05861056 162.4307884 721.4581276 7.122785186 -0.086949437 92.59647843
3089.715691 -6032.716522 1167.328787 -3544.96807 -1.42630607 -6.977860119 0.121483547 -30.13146365 169.0486267 721.1000122 7.123176195 0.029189218 88.85315271
3189.383939 -6146.432327 467.5963121 -3513.197586 -0.853713989 -7.051839813 0.515419728 -29.8292979 175.6495432 722.1804543 7.122003217 0.145094575 85.1311684
